番号,単語,意味
1,create,を創り出す；を引き起こす
2,increase,増加する（⇔ decrease ⇒ 223）；を増やす
3,improve,を向上させる；よくなる
4,mean,を意味する；（...する）つもりである（to do）
5,own,を所有している；（事実・罪など）を認める
6,include,を含む（⇔ exclude ⇒ 1009）
7,consider,を見なす；について考える
8,allow,を許す；を与える；（～を）考慮に入れる（for）
9,suggest,を提案する；を暗示する
10,produce,を生産する；を取り出す
11,decide,を決める；に決着をつける
12,offer,を提供する，申し出る
13,require,を要求する；を必要とする
14,share,を共有する；を分担する
15,store,を保存する；を蓄える
16,tend,傾向がある；を世話する
17,concern,〔受身形で〕心配している；〔受身形で〕（～に）関係する（with）；に関連する
18,describe,について述べる，を説明する
19,involve,を関与させる；を伴う
20,reduce,を減らす；を（～に）変える（to）
21,design,を設計する；を計画する
22,force,に強いる；を強要する
23,limit,を制限［規制］する
24,bear,に耐える（≒ endure ⇒ 824）；を負う；を産む；を（心に）抱く
25,affect,に影響を及ぼす（≒ influence ⇒ 49）；を感動させる
26,deal,〔deal withで〕を処理する；〔deal inで〕を商う；を分配する
27,avoid,を避ける
28,relate,を関連づける；（～に）関連する（to）
29,realize,に気づく；を実現する
30,encourage,を奨励する；を励ます（⇔ discourage ⇒ 706）
31,compare,を比較する；を（～に）たとえる（to）
32,measure,を測る；を（比較して）評価する
33,exist,存在する；生存する
34,mark,に印をつける；を（記号で）示す；に汚れをつける
35,challenge,に異議を唱える；（人）に挑む
36,depend,頼る；～次第である
37,object,反対する；（...）と言って反対する（that節）
38,demand,を要求する
39,found,を設立する；（理論など）を（～に基づいて）築く（on）
40,complete,を完成させる，仕上げる
41,idea,考え，思いつき；理解；見解；概念
42,accord,一致；合意，協定
43,company,会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座
44,interest,興味；利子；利害
45,research,（～についての）研究，調査（into / on / in）
46,cause,原因（⇔ effect ⇒ 48）；理由；大義
47,reason,理由；（...する）根拠（to do）；理性；分別
48,effect,影響，効果；結果
49,influence,影響（力）
50,situation,状況；（人の置かれた）立場
51,environment,環境（≒ surroundings）
52,skill,技能；熟練
53,matter,事柄；問題；〔～s〕事態；〔the ～〕困難；物質
54,view,（～についての）見解（on / about）；（～に対する）（特定の）見方（of）；眺め
55,value,価値；価格；評価；〔～s〕価値観
56,species,（生物の）種；種類
57,thought,考え；思考
58,knowledge,知識；知っていること；認識
59,memory,記憶（力）；（～の）思い出（of）
60,practice,実践，実行；（社会の）慣習；練習
61,benefit,利益，恩恵；給付金
62,theory,学説；理論；原理；推測
63,issue,問題（点）；発行（物）；発表
64,experiment,（～を対象とする）実験（on）
65,article,記事；条項；品物
66,focus,焦点；関心の的
67,subject,話題；科目；主題；被験者
68,project,計画；事業；研究計画
69,quality,質（⇔ quantity ⇒ 471）；特質
70,role,役割；（俳優などの）役
71,term,（専門）用語；〔～s〕条件；〔～s〕間柄；学期
72,statement,声明；主張；明細書
73,material,材料，素材；資料；生地
74,evidence,証拠
75,source,（～の）源，根源（of）；出所，情報源
76,community,（共同）社会，～界；地域社会；地域住民
77,technology,科学技術；応用技術
78,culture,文化；教養；耕作；養殖；培養
79,appropriate,（～に）適切な（for / to）
80,likely,ありそうな（⇔ unlikely ありそうもない）
81,possible,可能な；可能性のある
82,individual,個々の；個人の
83,public,公の（⇔ private 私的な）；公衆の；公開の
84,common,共通の；普通の；一般の
85,certain,確信して；確かな；ある；一定の
86,similar,似ている，類似した；同様の
87,recent,最近の
88,major,主要な；大きい（ほうの）；長調の
89,patient,忍耐強い；勤勉な
90,particular,特定の；特別の；（～について）やかましい（about）
91,physical,身体の（⇔ mental ⇒ 183）；物質的な；物理学の
92,various,さまざまな；いくつかの
93,available,手に入る；利用できる；手が空いている
94,native,出生地の；原産の；生得の
95,political,政治（上）の
96,due,予定された；（支払）期日で；しかるべき
97,blank,空白の；無表情な；がらんとした
98,ancient,古代の；昔からの
99,correct,正しい；適切な
100,despite,～にもかかわらず（≒ in spite of）
101,notice,に気づく
102,refer,言及する，関連する；参照する
103,approach,に近づく；に取り組む
104,wonder,かなと思う；（に）驚く（at）
105,imagine,（を）想像する；（を）推測する
106,recognize,を識別できる；を認める
107,solve,を解く，解明する；（困難など）を解決する
108,occur,起こる；心に浮かぶ；現れる
109,argue,"と主張する（≒ claim ⇒ 110, maintain ⇒ 206）；議論する"
110,claim,と主張する；を（自分のものとして）要求する
111,express,を表す，述べる
112,draw,を引き出す；を引く；を描く；近づく
113,waste,を浪費する，無駄にする
114,advance,を進歩させる；を進める；進歩する；進む
115,spread,を広める；広がる
116,prepare,を準備する；を調理する；（～のために）準備をする（for）
117,gain,を獲得する；（を）増す
118,achieve,を達成する；を成し遂げる
119,establish,を確立する；を設立する
120,supply,を供給する
121,suppose,と思う；と仮定する
122,perform,（を）行う；（を）演じる，（を）演奏する
123,prefer,のほうを好む
124,determine,を決定する；を正確に知る
125,treat,を扱う；を治療する
126,prove,を証明する；判明する，わかる
127,apply,を適用［応用］する；申し込む；（～に）適用される（to / in）
128,mention,に言及する；と言う
129,communicate,（～と）情報交換をする（with）；を伝達する
130,contain,を含む；を収容する；（感情など）を抑える
131,contact,と連絡を取る；接触する
132,regard,を見なす；を見る；を評価する
133,respect,を尊敬する；を尊重する
134,search,捜す；を捜索する；を詳しく調べる
135,connect,をつなぐ；を関連づける
136,decline,減少する；衰退する；を断る
137,prevent,を妨げる；を防ぐ
138,suffer,苦しむ；患う；（苦痛など）を経験する
139,survive,を切り抜けて生き残る；より長生きする；生き延びる
140,publish,を出版する；を公表する
141,opportunity,機会（≒ chance）
142,task,（課せられた）仕事，作業；課題；タスク
143,industry,産業；勤勉（≒ diligence）
144,medium,（情報伝達の）媒体；手段
145,economy,経済（状態）；経済圏；節約
146,policy,政策，方針；（個人の）主義
147,account,説明；勘定；口座
148,trade,貿易；商売，取引
149,model,模範；モデル；模型；型
150,figure,数字；姿；人物；図表
151,cell,細胞；独房；電池
152,image,印象，イメージ；画像；像
153,emotion,感情，情動；感動
154,stress,ストレス；圧力；強調
155,decade,10年間
156,range,範囲；射程距離；（同類の）組
157,character,性格，個性；特徴；登場人物；文字
158,advantage,利点；優勢；有利
159,phrase,句；成句；言葉遣い
160,damage,損害，損傷；〔～s〕損害賠償金
161,impact,影響；（激しい）衝突；衝撃（力）
162,method,方法；体系；秩序
163,resource,〔通例～s〕資源；〔通例～s〕資金；才覚 164 region地域；領域；部位
165,medicine,薬；医学
166,detail,〔～s〕詳細（な情報），細部
167,feature,特徴；〔通例～s〕顔つき；特集記事［番組］
168,function,機能；関数
169,access,利用，入手；接近（の機会・方法・権利）
170,item,品目，項目；（同種の中の）～個；（短い）記事
171,income,収入；所得
172,attitude,態度；考え方，心構え
173,site,用地，場所；跡地；（ウェブ）サイト
174,aspect,（物事の）側面；観点；様相
175,structure,構造；体系；構造物
176,habit,習慣，癖
177,link,関連，つながり；（2地点を結ぶ）交通手段；リンク
178,instance,（具体的な）例，実例；（特定の）場合
179,positive,肯定的な；積極的な；確信して；（検査結果が）陽性の
180,negative,否定的な；消極的な；（検査結果が）陰性の
181,complex,複雑な；複合（体）の
182,current,現在の；現代の；通用している
183,mental,精神の；知能の；頭の中で行う
184,specific,特定の；明確な，具体的な；（～に）特有の（to）
185,significant,重要な，重大な；意義 violentな意味
186,essential,（～に）必要不可欠な（to / for）；本質的な
187,official,公用の；公式の；役所の
188,financial,財政（上）の；財界の
189,academic,学問の；大学の
190,aware,気づいて，知って
191,worth,（...する）に値する（doing）；の価値がある
192,potential,潜在的な；可能性を秘めた
193,active,積極的な；活動的な；効力のある
194,digital,デジタル方式の；デジタル［数字］表示の
195,mobile,可動［移動］式の；流動性のある
196,novel,斬新な，目新しい
197,plastic,柔軟な；プラスチックの，ビニールの
198,chemical,化学の，化学的な
199,necessary,必要な（≒ essential ⇒ 186）
200,eventually,結局（は）
201,identify,を特定する；を（～と）同一視する（with）
202,represent,を表す；を代表する；に相当する
203,indicate,を指し示す；を述べる
204,manage,をなんとか成し遂げる；を管理する
205,attend,に出席する；（を）世話する；（～に）対処［対応］する（to）
206,maintain,を維持する；と主張する；を養う
207,survey,を調査する；をじろじろ見る；を概観する
208,replace,に取って代わる；を取り替える
209,sort,を（～に）分類する（into）；を（～から）えり分ける（from）
210,conduct,（調査・実験など）を実施する；を導く
211,associate,を結び付けて考える；（～と）交際する（with）
212,attempt,を試みる，企てる
213,promote,を促進する；〔通例受身形で〕昇進する
214,earn,を稼ぐ；を得る；をもたらす
215,unite,を団結させる；（を）結合する；団結する
216,feed,に食べ物［乳］を与える；に（～を）供給［補給］する（with）；餌を食べる
217,seek,を追い求める；（助けなど）を要請する
218,observe,に気づく；を観察する；を遵守する
219,reveal,を明らかにする；を見せる
220,estimate,と推定する；を見積もる；を評価する
221,reflect,を反映する；（を）反射する；（を）熟考する
222,attract,を引きつける
223,decrease,減少する（⇔ increase ⇒ 2）；を減らす
224,ignore,を無視する
225,match,（と）合う；に匹敵する；一致する
226,define,
